generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
30,84252.000000,15748.000000,35,204893.722513,1456257662.334894,2171.236394,0.462202,1,6,1,0.014100,1850
31,74517.000000,25483.000000,24,205445.060160,992204457.077979,2377.097865,0.412321,1,6,1,0.018110,1740
32,77926.000000,22074.000000,30,222137.012370,1137120265.899768,2670.303513,0.409149,1,6,1,0.011069,1800
33,75264.000000,24736.000000,26,160764.462196,690519442.514149,2020.228111,0.443467,1,6,1,0.015514,1760
34,74054.000000,25946.000000,26,192339.200248,676964541.188221,2347.057944,0.383962,1,6,1,0.028564,1760
35,75002.000000,24998.000000,25,152469.338361,452121908.310208,1803.603618,0.698849,0,7,1,0.017275,1760
36,77793.000000,22207.000000,28,169392.282522,845424643.863473,2009.794911,0.554407,0,7,1,0.017752,1780
37,80292.000000,19708.000000,28,161997.862331,780169894.159455,1852.765025,0.649762,0,7,1,0.016204,1780
38,73831.000000,26169.000000,25,154254.991570,400620396.356552,1971.378948,0.601024,0,7,1,0.012905,1750
39,76760.000000,23240.000000,25,153962.059642,583480910.007408,1725.755311,0.665277,0,7,1,0.015867,1750
40,77840.000000,22160.000000,26,137695.706359,292159182.374130,1624.406723,0.702774,0,7,1,0.015180,1760
41,72164.000000,27836.000000,24,147604.841995,345144518.249608,1709.411574,0.594820,0,7,1,0.017035,1740
42,73574.000000,26426.000000,25,126154.063563,271870813.631859,1432.333516,1.082146,0,7,1,0.016664,1750
43,81488.000000,18512.000000,29,196681.889711,689731932.176178,2129.927982,0.627424,0,7,1,0.011217,1790
44,72594.000000,27406.000000,26,114695.026838,240827324.977701,1435.405140,1.096051,1,6,1,0.016616,1760
45,77316.000000,22684.000000,27,106363.666574,442149187.264539,1174.436081,1.160334,1,6,1,0.024653,1770
46,77132.000000,22868.000000,27,175090.358310,728117699.892108,2010.585004,0.675262,1,6,1,0.011493,1770
47,73851.000000,26149.000000,25,146066.903918,364207120.116068,1422.198109,0.856046,1,6,1,0.014748,1750
48,81239.000000,18761.000000,29,146364.428233,640746779.802302,1307.627346,1.123397,1,6,1,0.023462,1798
49,81190.000000,18810.000000,30,141684.376226,298367890.297760,1436.749138,1.086840,1,6,1,0.016464,1800
50,71394.000000,28606.000000,22,166695.654490,636465040.886191,1987.642618,0.711077,1,6,1,0.009032,1720
51,73057.000000,26943.000000,26,150750.015281,647880312.918708,2329.015917,1.011270,1,6,1,0.019578,1760
52,78251.000000,21749.000000,31,142944.396808,694397550.696048,1672.469045,1.005210,1,6,1,0.018503,1810
53,69625.000000,30375.000000,20,127512.960267,239064536.488596,1910.309672,0.862131,1,6,1,0.020671,1700
54,81813.000000,18187.000000,34,187945.284514,990755803.509390,1980.300914,0.810309,1,6,1,0.012727,1840
